title,category,publish_date,author,article_url,content,summary
"Pria di Bogor Kehabisan Napas Saat Kuras Sumur, Dievakuasi Damkar",detikNews,2024-08-29,Rizky Adha Mahendra,https://news.detik.com/berita/d-7514219/pria-di-bogor-kehabisan-napas-saat-kuras-sumur-dievakuasi-damkar,"Seorang pria bernama Asmat (65) tercebur ke dalam sumur di Desa Ciawi, Kabupaten Bogor, Jawa Barat. Asmat tercebur sumur karena kehabisan napas saat menguras. Danru 2 Rescue Damkar Kabupaten Bogor, Iskandar mengatakan peristiwa itu terjadi pada Rabu 28 Agustus 2024 sekitar pukul 11.00 WIB. Warga sempat memanggil korban dari atas, tapi tak ada jawaban. ""Bapak Asmat sedang memperdalam atau menguras sumur, baru dapat dua ember sudah lemas kehabisan napas. Dipanggil-panggil tidak ada jawaban,"" kata Iskandar, Kamis 29 Agustus 2024.    Warga kemudian melaporkan kejadian itu kepada petugas Damkar untuk mengevakuasi Asmat. Menerima laporan warga, petugas segera menuju ke lokasi. ""Tim rescue segera merespons laporan tersebut, berangkat pukul 11.05 WIB,"" jelasnya. Petugas Damkar tiba di lokasi sekitar pukul 11.25 WIB. Setibanya di lokasi, petugas segera melakukan penanganan hingga Asmat bisa dievakuasi dari dalam sumur. ""Evakuasi dilakukan selama 1 jam, situasi akhir kondusif berhasil dievakuasi oleh tim,"" imbuhnya.","Seorang pria bernama Asmat (65) tercebur ke dalam sumur di Desa Ciawi, Kabupaten Bogor, Jawa Barat. Asmat tercebur sumur karena kehabisan napas saat menguras. Warga kemudian melaporkan kejadian itu kepada petugas Damkar untuk mengevakuasi Asmat. Tim rescue segera merespons laporan tersebut, berangkat pukul 11.05 WIB,"" jelasnya. Setibanya di lokasi, petugas segera melakukan penanganan hingga Asmat bisa dievakuasi dari dalam sumur. "" Evakuasi dilakukan selama 1 jam, situasi akhir kondusif berhasil dievakuasi oleh tim,"" imbuhnya."
"Ada Demo Ojol-Kurir Hari Ini, Warga di Sudirman Ngeluh Susah Dapat Driver",detikNews,2024-08-29,Taufiq Syarifudin,https://news.detik.com/berita/d-7514212/ada-demo-ojol-kurir-hari-ini-warga-di-sudirman-ngeluh-susah-dapat-driver,"Asosiasi ojek online (ojol) dan kurir se-Jabodetabek berencana menggelar demo siang ini. Warga yang jadi calon penumpang mengeluh kesulitan mendapatkan driver ojol. Warga itu adalah Rino (34). Dia sudah berdiri di dekat Stasiun Sudirman selama 15 menit untuk memesan ojol. Rino gelisah karena yang dialaminya tidak seperti biasanya. ""Ini sudah nunggu sekitar 15 menit, gagal sih nggak, tapi nyari driver-nya yang lama. Cari yang nerima. Biasanya nggak nyampe satu menit langsung dapat, ini nggak, sampai saya ulangin lagi,"" kata Rino kepada detikcom di lokasi, Kamis 29 Agustus 2024.    Rino hendak berangkat ke kantornya di kawasan Jalan Merdeka Selatan. Katanya, tarif normal biasanya tidak semahal hari ini. ""Ini saya dapat nih, Mas, tapi mahal ya, biasanya nggak segini,"" kata Rino sambil menunjukkan layar dengan tarif lebih dari Rp 20 ribu. ""Biasanya kurang dari Rp 20 ribu kok, ini bisa lebih. Mungkin karena yang narik hari ini dikit,"" ucapnya. Selanjutnya ada Dini (28), yang sempat menunggu 10 menit untuk mendapat driver ojol. Biasanya dia mendapat driver kurang dari satu atau dua menit di Stasiun Sudirman. ""Iya, ini jadi agak lama. Ada demo katanya, ya,"" kata Dini. Dini berharap, meskipun ada demo, keadaan bisa segera kembali normal. Dia berharap kenaikan tarif tidak terlalu besar. ""Cepat normal tapi tarifnya tetap nggak terlalu naik aja,"" jelasnya.  Simak juga Video 'Massa Ojol Demo Besar-besaran, Berikut Tuntutannya':   ","Asosiasi ojek online (ojol) dan kurir se-Jabodetabek berencana menggelar demo siang ini. Dia sudah berdiri di dekat Stasiun Sudirman selama 15 menit untuk memesan ojol. Biasanya nggak nyampe satu menit langsung dapat, ini nggak, sampai saya ulangin lagi,"" kata Rino kepada detikcom di lokasi, Kamis 29 Agustus 2024. Rino hendak berangkat ke kantornya di kawasan Jalan Merdeka Selatan. Katanya, tarif normal biasanya tidak semahal hari ini. "" Biasanya kurang dari Rp 20 ribu kok, ini bisa lebih. Dini berharap, meskipun ada demo, keadaan bisa segera kembali normal. Dia berharap kenaikan tarif tidak terlalu besar. "" Simak juga Video 'Massa Ojol Demo Besar-besaran, Berikut Tuntutannya':"
"Ada Demo Ojol-Kurir, Lalin Jalan Medan Merdeka Barat Jakpus Dialihkan",detikNews,2024-08-29,Taufiq Syarifudin,https://news.detik.com/berita/d-7514429/ada-demo-ojol-kurir-lalin-jalan-medan-merdeka-barat-jakpus-dialihkan,"Jalan Medan Merdeka Barat, Jakarta Pusat, menuju Istana Negara ditutup menjelang aksi demo ojek online (ojol) dan kurir siang ini. Lalu lintas dialihkan menuju Jalan Medan Merdeka Selatan. Pantauan detikcom, Kamis 29 Agustus 2024, penutupan lalu lintas dilakukan sekitar pukul 11.40 WIB. Adapun traffic barrier yang dipasang kepolisian diletakkan di dekat bundaran Patung Kuda. Kemudian satu barier beton terlihat menutup jalan di bawah jembatan penyeberangan orang (JPO). Imbas penutupan itu, lalu lintas di sekitar Patung Kuda macet. Antrean kendara tampak mengular di bundaran. Adu klakson kendaraan terdengar di lokasi.    Petugas dari kepolisian mulai terlihat berjaga di sekitar lokasi. Mereka membantu mengarahkan pengendara ke Jalan Medan Merdeka Selatan. Massa aksi dari ojol dan kurir diminta mengalihkan motornya yang diparkir di sekitar Kantor Indosat ke sekitaran Monas. Mereka berangsur datang mengenakan seragam jaket warna hijau. Saat ini massa ojol sudah mulai mendatangi lokasi.","Jalan Medan Merdeka Barat, Jakarta Pusat, menuju Istana Negara ditutup menjelang aksi demo ojek online (ojol) dan kurir siang ini. Lalu lintas dialihkan menuju Jalan Medan Merdeka Selatan. Adu klakson kendaraan terdengar di lokasi. Petugas dari kepolisian mulai terlihat berjaga di sekitar lokasi. Massa aksi dari ojol dan kurir diminta mengalihkan motornya yang diparkir di sekitar Kantor Indosat ke sekitaran Monas. Mereka berangsur datang mengenakan seragam jaket warna hijau. Saat ini massa ojol sudah mulai mendatangi lokasi."
"Misa Akbar Paus Fransiskus Digelar 5 September, Ini Jadwal hingga Lokasinya",detikNews,2024-08-29,Kanya Anindita Mutiarasari,https://news.detik.com/berita/d-7514344/misa-akbar-paus-fransiskus-digelar-5-september-ini-jadwal-hingga-lokasinya,"Paus Fransiskus akan melakukan perjalanan keagamaan sekaligus kenegaraan atau apostolik ke Indonesia pada tanggal 3 - 6 September 2024. Salah satu agenda Paus di Indonesia adalah memimpin misa akbar di Kompleks Gelora Bung Karno (GBK). Agenda misa akbar tersebut digelar pada Kamis, 5 September 2024. Berikut informasi selengkapnya soal misa akbar Paus Fransiskus di Indonesia. Dilansir situs Portal Informasi Indonesia, Indonesia menjadi negara pertama yang akan dikunjungi Paus Fransiskus dalam perjalanan apostoliknya selama 11 hari atau pada 3 - 13 September 2024 ke kawasan Asia Pasifik. Bapa Suci diperkirakan tiba di Bandara Internasional Soekarno-Hatta, Tangerang pada 3 September 2024 pukul 11.30 WIB.    Dalam kunjungannya ke Indonesia, Paus Fransiskus juga akan memimpin misa akbar di dua stadion di Jakarta. Berikut jadwal dan lokasi misa akbar Paus Fransiskus. Kedua stadion hanya berjarak sekitar 100 meter. Sekitar 60.000 umat Katolik akan memadati SUGBK dan 26.000 orang lainnya di Stadion Madya. Juru Bicara Panitia Kunjungan Paus Fransiskus Romo Thomas Ulun Ismoyo mengatakan, bisa jadi ini adalah pertama kalinya dalam sebuah kunjungan apostolik Paus ke suatu negara, misa akbar digelar sekaligus di dua stadion besar. ""Stadion Madya yang letaknya di sisi samping Stadion Utama Gelora Bung Karno akan diisi oleh komunitas pendidikan utamanya anak-anak sekolah. Jadi totalnya ada sekitar 86.000 orang mengikuti misa agung,"" katanya. Panitia telah menyiapkan saluran khusus untuk menyiarkan siaran langsung (live streaming) misa agung Paus Fransiskus bagi umat Katolik yang tidak dapat hadir ke stadion pada tanggal 5 September. Umat yang akan hadir juga diimbau agar mengikuti acara dengan tertib dan mematuhi semua petunjuk yang telah ditetapkan oleh pihak panitia. Paus Fransiskus akan hadir dalam misa akbar di GBK pada Kamis, 5 September 2024. Pihak Komisi Komunikasi Sosial KWI mengatakan, keterlibatan umat baik dalam penyambutan maupun perayaan misa di stadium GBK hanya berlangsung di bawah koordinasi Keuskupan, Kevikepan dan Paroki setempat. Itu artinya, umat yang ingin mengikuti kegiatan misa akbar dengan Paus Fransiskus di GBK harus berkoordinasi dengan keuskupan dan paroki masing-masing.  Simak Video 'Misa Akbar Paus Fransiskus Digelar 5 September di GBK, Warga Diimbau WFH':    ","Paus Fransiskus akan melakukan perjalanan keagamaan sekaligus kenegaraan atau apostolik ke Indonesia pada tanggal 3 - 6 September 2024. Agenda misa akbar tersebut digelar pada Kamis, 5 September 2024. Dilansir situs Portal Informasi Indonesia, Indonesia menjadi negara pertama yang akan dikunjungi Paus Fransiskus dalam perjalanan apostoliknya selama 11 hari atau pada 3 - 13 September 2024 ke kawasan Asia Pasifik. Kedua stadion hanya berjarak sekitar 100 meter. Sekitar 60.000 umat Katolik akan memadati SUGBK dan 26.000 orang lainnya di Stadion Madya. Juru Bicara Panitia Kunjungan Paus Fransiskus Romo Thomas Ulun Ismoyo mengatakan, bisa jadi ini adalah pertama kalinya dalam sebuah kunjungan apostolik Paus ke suatu negara, misa akbar digelar sekaligus di dua stadion besar. "" Jadi totalnya ada sekitar 86.000 orang mengikuti misa agung,"" katanya. Umat yang akan hadir juga diimbau agar mengikuti acara dengan tertib dan mematuhi semua petunjuk yang telah ditetapkan oleh pihak panitia. Paus Fransiskus akan hadir dalam misa akbar di GBK pada Kamis, 5 September 2024. Pihak Komisi Komunikasi Sosial KWI mengatakan, keterlibatan umat baik dalam penyambutan maupun perayaan misa di stadium GBK hanya berlangsung di bawah koordinasi Keuskupan, Kevikepan dan Paroki setempat."
"Pelajar di Cileungsi Bogor Dibacok Saat Dibegal, Motor Raib Dibawa Kabur",detikNews,2024-08-29,Rizky Adha Mahendra,https://news.detik.com/berita/d-7514330/pelajar-di-cileungsi-bogor-dibacok-saat-dibegal-motor-raib-dibawa-kabur,"Seorang pelajar di Cileungsi, Kabupaten Bogor, Jawa Barat, menjadi korban begal. Pelaku menyerang korban menggunakan celurit. Kapolsek Cileungsi Kompol Wahyu Maduransyah Putra mengatakan peristiwa itu terjadi pada Senin 26 Agustus dini hari. Dua orang pelaku ditangkap. ""Dalam operasi yang digelar pada Selasa, 27 Agustus 2024, dua orang pelaku berhasil diamankan oleh pihak kepolisian,"" kata Wahyu, Kamis 29 Agustus 2024.    Saat kejadian, korban diserang di pinggir jalan Kampung Ciuncal, Desa Situsari. Pelaku telah menargetkan korban yang melintas di lokasi sepi. ""Korban mengalami luka bacok dan langsung dilarikan ke RSUD Cileungsi oleh saksi yang kebetulan berada di dekat lokasi kejadian,"" ucapnya. Pihak kepolisian kemudian melakukan penyelidikan terkait kejadian tersebut. Diketahui, motor korban rencananya hendak dijual ke daerah Jakarta Timur. ""Berdasarkan informasi yang didapat, pelaku berencana menjual sepeda motor hasil curian di daerah Ciracas, Jakarta Timur,"" tuturnya. Kedua pelaku berinisial MFA (22) dan DA (24) tersebut ditangkap di darah Kalimalang, Bekasi. Pelaku ditangkap beserta bareng bukti motor dan celurit. ""Kedua pelaku mengakui perbuatannya dan menyebutkan aksi tersebut melibatkan enam orang, dengan empat pelaku lainnya masih jadi buron. Saat ini, Polsek Cileungsi terus melakukan pengembangan untuk menangkap pelaku lain yang masih berada di luar,"" pungkasnya.","Seorang pelajar di Cileungsi, Kabupaten Bogor, Jawa Barat, menjadi korban begal. Pelaku menyerang korban menggunakan celurit. Dalam operasi yang digelar pada Selasa, 27 Agustus 2024, dua orang pelaku berhasil diamankan oleh pihak kepolisian,"" kata Wahyu, Kamis 29 Agustus 2024. Saat kejadian, korban diserang di pinggir jalan Kampung Ciuncal, Desa Situsari. Pelaku telah menargetkan korban yang melintas di lokasi sepi. "" Korban mengalami luka bacok dan langsung dilarikan ke RSUD Cileungsi oleh saksi yang kebetulan berada di dekat lokasi kejadian,"" ucapnya. Kedua pelaku mengakui perbuatannya dan menyebutkan aksi tersebut melibatkan enam orang, dengan empat pelaku lainnya masih jadi buron."
"Tak Ikut Demo, Ojol di Jaksel Lebih Pilih Matikan Layanan: Hargai Mereka",detikNews,2024-08-29,Maulana Ilhami Fawdi,https://news.detik.com/berita/d-7514239/tak-ikut-demo-ojol-di-jaksel-lebih-pilih-matikan-layanan-hargai-mereka,"Komunitas tukang ojek online (ojol) se-Jabodetabek bakal menggelar aksi demonstrasi. Sejumlah ojol namun memilih untuk tidak ikut aksi. Hadi salah seorang tukang ojol, mengaku mendukung aksi demonstrasi yang dilakukan ojol pada hari ini. Sebagai bentuk solidaritas dia juga tidak akan menerima penumpang. Namun dia memilih tak ikut aksi yang direncanakan digelar di kawasan Patung Kuda, Monas, Jakarta Pusat nanti. ""Kayanya mah nggak (ikut). Ya istirahat aja lah, paling nggak narik, tapi ya nggak ikut ke sana, jadi kita ngehargain aja mereka yang demo,"" kata Hadi ditemui di Jalan Cikoko Timur, Pancoran, Jakarta Selatan, Kamis 29 Agustus 2024.    Dia memahami keluhan yang dihadapi oleh ojol. Salah satunya mengenai biaya potongan yang diterapkan oleh pihak aplikator ojol. ""Yang berat potongan buat drivernya, harga penumpang dinaikin, potongan dinaikin, jadi yang didapet driver sama aja. Potongannya katanya 20 persen, kenyataannya bisa 30 persen,"" ungkapnya. Ojol lainnya, Yadi juga memilih tak mengikuti aksi demonstrasi. Walau begitu dirinya juga memilih untuk tidak mengambil penumpang saat aksi demonstrasi berlangsung. ""Belum tahu ini, tapi paling nggak. Ya kita dukung aja yang demo tapi kalau ke Patung Kuda nggak,"" ungkapnya. Menurutnya, tak hanya tukang ojol yang mengeluhkan kebijakan potongan dari pihak aplikator, melainkan juga kurir makanan. ""Iya (potongan) makin naik, tapi kalau orang sih engga terlalu, kalau yang food itu yang saya tahu makin banyak potongannya, jadi misalnya harusnya bisa dapet Rp 18 ribu cuma dapet Rp 12 ribu,"" jelasnya. Sementara itu sejumlah pengguna ojol mengaku cukup keberatan dengan rencana ojol yang tidak menerima penumpang. Yeni mengaku cukup kesulitan untuk berpergian jika tidak ada ojol. ""Kalau misalkan ga ambil order ya susah juga ya karena kalau ada ojol bisa cepat kemana-mana, jadi kalau ada demo gitu ya pasti jadi lebih susah sih,"" kata Yeni. Kemudian, ojol lain bernama Dandi, mendukung keinginan tukang ojol yang akan ikut demonstrasi. Namun dirinya mengaku bakal kesulitan jika tidak ada ojol yang menerima penumpang. ""Saya dukung aja kalau aspirasi atau tuntutan mereka sampe demo gitu, tapi di satu sisi jadi ngerepotin juga ya kalau ga terima orderan,"" katanya.  ","Komunitas tukang ojek online (ojol) se-Jabodetabek bakal menggelar aksi demonstrasi. Sejumlah ojol namun memilih untuk tidak ikut aksi. Hadi salah seorang tukang ojol, mengaku mendukung aksi demonstrasi yang dilakukan ojol pada hari ini. Sebagai bentuk solidaritas dia juga tidak akan menerima penumpang. Namun dia memilih tak ikut aksi yang direncanakan digelar di kawasan Patung Kuda, Monas, Jakarta Pusat nanti. "" Dia memahami keluhan yang dihadapi oleh ojol. Salah satunya mengenai biaya potongan yang diterapkan oleh pihak aplikator ojol. "" Potongannya katanya 20 persen, kenyataannya bisa 30 persen,"" ungkapnya. Ya kita dukung aja yang demo tapi kalau ke Patung Kuda nggak,"" ungkapnya. Iya (potongan) makin naik, tapi kalau orang sih engga terlalu, kalau yang food itu yang saya tahu makin banyak potongannya, jadi misalnya harusnya bisa dapet Rp 18 ribu cuma dapet Rp 12 ribu,"" jelasnya. Namun dirinya mengaku bakal kesulitan jika tidak ada ojol yang menerima penumpang. """
Apakah Pendaftar CPNS 2024 Boleh Mengundurkan Diri? Cek Ketentuannya!,detikNews,2024-08-29,Kanya Anindita Mutiarasari,https://news.detik.com/berita/d-7514180/apakah-pendaftar-cpns-2024-boleh-mengundurkan-diri-cek-ketentuannya,"Pendaftaran seleksi Calon Pegawai Negeri Sipil (CPNS) 2024 masih berlangsung hingga tanggal 6 September 2024. Masyarakat Indonesia yang memenuhi kriteria pelamar dapat mendaftar CPNS 2024 secara online lewat situs SSCASN BKN. Lalu, apakah pendaftar CPNS 2024 boleh mengundurkan diri? Bagaimana ketentuan dari Badan Kepegawaian Negara (BKN). Simak informasinya. Melalui Pengumuman Nomor: 01/PANPEL.BKN/CPNS/VIII/2024, BKN menyampaikan sederet informasi tentang seleksi CPNS Tahun 2024. Dalam edaran tersebut, terdapat ketentuan apakah pelamar CPNS 2024 boleh mengundurkan diri atau tidak. Berikut keterangannya.    Selain soal pengunduran diri pelamar, BK juga menginformasikan sejumlah ketentuan lain dalam proses seleksi CPNS 2024. Apa saja?","Pendaftaran seleksi Calon Pegawai Negeri Sipil (CPNS) 2024 masih berlangsung hingga tanggal 6 September 2024. Masyarakat Indonesia yang memenuhi kriteria pelamar dapat mendaftar CPNS 2024 secara online lewat situs SSCASN BKN. Bagaimana ketentuan dari Badan Kepegawaian Negara (BKN). Dalam edaran tersebut, terdapat ketentuan apakah pelamar CPNS 2024 boleh mengundurkan diri atau tidak."
"Kontainer Tabrak Ranting Pohon di Bekasi, Lalin Arah Jakarta Macet",detikNews,2024-08-29,Mei Amelia R,https://news.detik.com/berita/d-7514160/kontainer-tabrak-ranting-pohon-di-bekasi-lalin-arah-jakarta-macet,"Satu unit truk kontainer menabrak ranting pohon di Jalan Sultan Agung, Kota Bekasi. Kejadian ini sempat menimbulkan kemacetan lalu lintas. ""Itu kejadian sekitar jam 07.30 WIB, tetapi sudah dievakuasi. Sudah selesai evakuasi tadi sekitar jam 08.00 WIB,"" kata Kanit Lantas Polres Metro Bekasi Kota Iptu Mian Siregar saat dihubungi detikcom, Kamis 29 Agustus 2024. Mian menjelaskan truk kontainer tersebut menabrak ranting pohon yang merunduk ke tengah jalan, sehingga ranting pohon tersangkut di atas kontainer.    ""Itu pohon kan agak ke tengah ranting yang atasnya itu, kebetulan ada trailer lewat. Jadi ranting yang menjorok ke tengah jalan itu patah kena kontainer,"" jelasnya. Mian mengatakan kejadian ini sudah ditangani petugas. Petugas PPSU turut membantu mengevakuasi ranting pohon tersebut. Peristiwa ini terjadi di Jalan Sultan Agung mengarah ke Jakarta. Arus lalu lintas sempat macet akibat kejadian ini. ""Iya, itu posisinya arah Jakarta melewati jembatan BKT. Sempat macet karena pagi jam berangkat kerja, tetapi sekarang sudah normal kembali,"" pungkasnya. ","Satu unit truk kontainer menabrak ranting pohon di Jalan Sultan Agung, Kota Bekasi. Kejadian ini sempat menimbulkan kemacetan lalu lintas. "" Sudah selesai evakuasi tadi sekitar jam 08.00 WIB,"" kata Kanit Lantas Polres Metro Bekasi Kota Iptu Mian Siregar saat dihubungi detikcom, Kamis 29 Agustus 2024. Jadi ranting yang menjorok ke tengah jalan itu patah kena kontainer,"" jelasnya. Mian mengatakan kejadian ini sudah ditangani petugas. Peristiwa ini terjadi di Jalan Sultan Agung mengarah ke Jakarta. Sempat macet karena pagi jam berangkat kerja, tetapi sekarang sudah normal kembali,"" pungkasnya."
Apa Itu Fenomena Parade Planet Sejajar? Terjadi Dua Kali di 2024,detikNews,2024-08-29,Widhia Arum Wibawana,https://news.detik.com/berita/d-7514117/apa-itu-fenomena-parade-planet-sejajar-terjadi-dua-kali-di-2024,"Fenomena parade planet sejajar terjadi dua kali pada tahun 2024 ini. Parade planet sejajar yang pertama di tahun ini telah berlangsung pada bulan Juni lalu. Terbaru, parade planet sejajar kembali terjadi pada bulan Agustus 2024. Sebelumnya, parade planet sejajar terjadi pada 3-4 Juni 2024. Sebanyak enam planet berjajar sepanjang ekliptika, yaitu Jupiter, Merkurius, Uranus, Mars, Neptunus, dan Saturnus. Namun hanya planet-planet terang saja yang bisa terlihat terutama saat langit masih gelap. Parade planet sejajar terjadi lagi pada 28 Agustus 2024 dan dapat disaksikan dari berbagai negara di dunia pada waktu yang berbeda-beda sesuai zona waktunya. Kali ini juga ada enam planet yang berjajar, yaitu Merkurius, Mars, Jupiter, Saturnus, Uranus, dan Neptunus.    Namun fenomena planet sejajar ini tidak hanya terjadi dalam satu hari. Fenomena ini bisa disaksikan selama beberapa hari sebelum maupun sesudahnya. Jadi bagi yang melewatkan momen ini pada 28 Agustus, bisa mencoba mengamati di hari lain sekitar tanggal tersebut. Mengutip Star Walk Space, parade planet adalah fenomena yang terjadi ketika beberapa planet tampak berjajar di langit dalam satu malam. Saat fenomena ini terjadi, sejumlah planet berkumpul berdekatan pada salah satu sisi Matahari di waktu yang sama. Akan tetapi, yang dimaksud ""berjajar"" di sini bukan berarti planet-planet yang ada berjajar secara harfiah dalam satu garis lurus di ruang angkasa. Melainkan, saat terjadi kesejajaran, planet-planet hanya berkumpul berdekatan di salah satu sisi Matahari. Planet-planet di tata surya sejatinya tidak pernah membentuk garis lurus sempurna di ruang angkasa, karena orbitnya tidak berada pada bidang yang sama. Namun terkadang, planet-planet berkumpul erat di satu sisi Matahari dan muncul bersama di langit. Menurut Star Walk Space, ada beberapa jenis fenomena parade planet sejajar yang dikategorikan berdasarkan jumlah planet yang berpartisipasi. Mulai dari parade planet mini, kecil, besar hingga sempurna atau penuh ketika semua planet berpartisipasi. Untuk menyaksikan fenomena parade planet sejajar, pengamat hanya perlu mengarahkan pandangan ke langit malam gelap seperti pada dini hari dan pastikan bebas dari polusi cahaya. Meski dapat diamati dengan mata telanjang, namun pengamatan lebih baik dapat menggunakan teleskop. Selain itu, pengamat juga perlu memahami ciri-ciri dari planet-planet yang ada di tata surya. Pastikan pengamat melihat planet-planet, bukan bintang-bintang. Salah satu perbedaannya adalah bahwa planet-planet, tidak seperti bintang-bintang, yaitu tidak berkelap-kelip dan sedikit redup. ","Fenomena parade planet sejajar terjadi dua kali pada tahun 2024 ini. Sebelumnya, parade planet sejajar terjadi pada 3-4 Juni 2024. Sebanyak enam planet berjajar sepanjang ekliptika, yaitu Jupiter, Merkurius, Uranus, Mars, Neptunus, dan Saturnus. Namun hanya planet-planet terang saja yang bisa terlihat terutama saat langit masih gelap. Parade planet sejajar terjadi lagi pada 28 Agustus 2024 dan dapat disaksikan dari berbagai negara di dunia pada waktu yang berbeda-beda sesuai zona waktunya. Jadi bagi yang melewatkan momen ini pada 28 Agustus, bisa mencoba mengamati di hari lain sekitar tanggal tersebut. Akan tetapi, yang dimaksud ""berjajar"" di sini bukan berarti planet-planet yang ada berjajar secara harfiah dalam satu garis lurus di ruang angkasa. Melainkan, saat terjadi kesejajaran, planet-planet hanya berkumpul berdekatan di salah satu sisi Matahari. Menurut Star Walk Space, ada beberapa jenis fenomena parade planet sejajar yang dikategorikan berdasarkan jumlah planet yang berpartisipasi. Mulai dari parade planet mini, kecil, besar hingga sempurna atau penuh ketika semua planet berpartisipasi. Meski dapat diamati dengan mata telanjang, namun pengamatan lebih baik dapat menggunakan teleskop. Pastikan pengamat melihat planet-planet, bukan bintang-bintang."
Kondisi Terkini Polisi Korban Air Keras Massa Tawuran di Bassura,detikNews,2024-08-29,Wildan Noviansah,https://news.detik.com/berita/d-7514444/kondisi-terkini-polisi-korban-air-keras-massa-tawuran-di-bassura,"Satu orang anggota Brimob terkena siraman air keras saat berusaha membubarkan aksi tawuran yang terjadi di Jalan Basuki Rahmat (Bassura), Cipinang Besar, Jatinegara, Jakarta Timur. Korban mengalami luka di wajah hingga tangan. ""Luka wajah, tangan dan paha tersiram air keras,"" kata Kapolres Metro Jakarta Timur Kombes Nicolas Ary Lilipaly kepada wartawan, Kamis 29 Agustus 2024. Nicolas mengatakan korban langsung dilarikan ke rumah sakit usai terkena siraman air keras. Kondisi korban kini berangsur membaik.    ""Korban sudah dirawat di RS Polri. Korban dalam kondisi sadar dan luka-luka sudah diobati,"" ujarnya. Aksi tawuran tersebut terjadi pada dini hari tadi. Pihak kepolisian mulanya hendak membubarkan aksi tawuran yang terjadi. Alih-alih bubar, para pelaku tawuran justru melawan dengan cara menyiram air keras ke arah anggota. ""Saat terjadi tawuran. Anggota Polrestro Jaktim, Polsek Jatinegara, dan Brimob Cipinang datang untuk membubarkan para pelaku tawuran, tapi ternyata pelaku tawuran balik menyerang anggota Brimob dengan menyiramkan air keras,"" tuturnya. Kombes Nicolas Ary Lilipaly mengatakan, selain satu polisi terkena siraman air keras, satu anggota Brimob menjadi korban pencopetan saat membubarkan aksi tawuran di Jalan Basuki Rahmat (Bassura), Jakarta Timur. ""Ada juga HP (anggota) yang hilang. Iya (dicopet),"" kata Kapolres Metro Jakarta Timur Kombes Nicolas Ary Lilipaly kepada wartawan, Kamis 29 Agustus Nicolas mengatakan korban pencopetan dan korban penyiraman air keras merupakan dua orang yang berbeda. Saat ini anggota yang terkena siraman air keras masih menjalani perawatan. ""Beda lagi (anggota). Anggota Brimob, tapi berbeda korbannya,"" ujarnya. Nicolas menambahkan saat ini pihak kepolisian masih melakukan serangkaian pendalaman terkait peristiwa yang terjadi. Pelaku tawuran, termasuk pelaku penyiraman air keras dan pencopetan, tengah diburu. ""Kami lagi rapat koordinasi untuk melakukan tindakan lanjutan terkait peristiwa ini,"" tuturnya. ","Satu orang anggota Brimob terkena siraman air keras saat berusaha membubarkan aksi tawuran yang terjadi di Jalan Basuki Rahmat (Bassura), Cipinang Besar, Jatinegara, Jakarta Timur. Korban mengalami luka di wajah hingga tangan. "" Nicolas mengatakan korban langsung dilarikan ke rumah sakit usai terkena siraman air keras. Aksi tawuran tersebut terjadi pada dini hari tadi. Kombes Nicolas Ary Lilipaly mengatakan, selain satu polisi terkena siraman air keras, satu anggota Brimob menjadi korban pencopetan saat membubarkan aksi tawuran di Jalan Basuki Rahmat (Bassura), Jakarta Timur. "" Anggota Brimob, tapi berbeda korbannya,"" ujarnya. Nicolas menambahkan saat ini pihak kepolisian masih melakukan serangkaian pendalaman terkait peristiwa yang terjadi. Pelaku tawuran, termasuk pelaku penyiraman air keras dan pencopetan, tengah diburu. """
