title,category,publish_date,author,article_url,content,summary
"Iriana Hari Ini Kunker di Sulsel, Ingatkan Generasi Muda soal Bahaya Narkoba",detikNews,2024-08-22,Eva Safitri,https://news.detik.com/berita/d-7503661/iriana-hari-ini-kunker-di-sulsel-ingatkan-generasi-muda-soal-bahaya-narkoba,"Ibu Negara Iriana Joko Widodo dan para anggota Organisasi Aksi Solidaritas Era Kabinet Indonesia Maju (OASE KIM) menghadiri sosialisasi antinarkoba di Sulawesi Selatan. Iriana mengingatkan generasi muda untuk memahami bahaya narkotika. Kegiatan itu diselenggarakan di Hotel Four Points, Kota Makassar, Sulawesi Selatan, Kamis 22 Agustus 2024. Kegiatan ini disebut untuk menunjukkan komitmen pemerintah dalam memerangi ancaman narkotika pada generasi muda. Sosialisasi bertajuk 'Generasi Muda Emas Antinarkoba' ini dihadiri para siswa-siswi dari sejumlah sekolah di Makassar. Istri Wapres Wury Ma'ruf Amin turut hadir dalam kegiatan tersebut.    Pada kesempatan tersebut, Iriana dan Wury sempat berinteraksi dengan para siswa. Alki, salah satu siswa dari SMAN 2 Makassar, berkesempatan untuk maju dan menjelaskan kepada Iriana dan Wury terkait materi sosialisasi yang disampaikan oleh narasumber. ""Tadi dijelaskan tentang bahaya narkoba, tentang kecanduan, adiksim dan cara membedakan narkoba, dan ciri-ciri narkoba,"" jelas Alki sebagaimana dalam keterangan tertulis dari BPMI Setpres. Atas keberaniannya, Iriana memberikan hadiah yang dapat dimanfaatkan oleh Alki. Kepada para siswa, Iriana pun berpesan agar para siswa betul-betul memahami informasi terkait narkoba. ""Harus dipahami ya nanti tentang narkoba karena yang hadir disini adalah generasi emas semuanya,"" ucap Iriana. Kehadiran Iriana dan Wury di acara sosialisasi antinarkoba ini diharapkan mampu memperkuat semangat masyarakat dalam melawan bahaya narkotika. Keduanya memberikan pesan agar para generasi muda menjauhi narkoba.","Ibu Negara Iriana Joko Widodo dan para anggota Organisasi Aksi Solidaritas Era Kabinet Indonesia Maju (OASE KIM) menghadiri sosialisasi antinarkoba di Sulawesi Selatan. Istri Wapres Wury Ma'ruf Amin turut hadir dalam kegiatan tersebut. Alki, salah satu siswa dari SMAN 2 Makassar, berkesempatan untuk maju dan menjelaskan kepada Iriana dan Wury terkait materi sosialisasi yang disampaikan oleh narasumber. "" Tadi dijelaskan tentang bahaya narkoba, tentang kecanduan, adiksim dan cara membedakan narkoba, dan ciri-ciri narkoba,"" jelas Alki sebagaimana dalam keterangan tertulis dari BPMI Setpres. Atas keberaniannya, Iriana memberikan hadiah yang dapat dimanfaatkan oleh Alki. Kehadiran Iriana dan Wury di acara sosialisasi antinarkoba ini diharapkan mampu memperkuat semangat masyarakat dalam melawan bahaya narkotika. Keduanya memberikan pesan agar para generasi muda menjauhi narkoba."
Istana soal Bahlil Sebut 'Raja Jawa': Silakan Tafsirkan Masing-masing,detikNews,2024-08-22,Eva Safitri,https://news.detik.com/berita/d-7503558/istana-soal-bahlil-sebut-raja-jawa-silakan-tafsirkan-masing-masing,"Kepala Presidential Communication Office (PCO), Hasan Nasbi, buka suara soal Ketum Partai Golkar, Bahlil Lahadalia, yang menyebut 'Raja Jawa'. Hasan tidak ingin berspekulasi dan meminta publik untuk menafsirkan masing-masing. ""Itu biarkan itu kan pernyataan politik di partai politik. Itu tidak bisa jadi ini. Silakan ditafsirkan masing-masing,"" kata Hasan di kompleks Istana Kepresidenan, Jakarta, Kamis 22 Agustus 2024. Adapun hal tersebut diungkap Bahlil saat menyampaikan pesannya kepada para kader Golkar agar terus mendukung agenda pemerintah. Dia kemudian melempar kelakar soal 'Raja Jawa'.    ""Kita sudah bersepakat Golkar mendukung pemerintah. Jangan pagi mendukung, sore setengah mendukung, malam bikin lain. Ini saya jujur aja. Saya nggak punya kepentingan apa-apa pribadi, kepentingan saya ke depan adalah Golkar lebih baik dari sekarang,"" ujar Bahlil di Munas XI Golkar, JCC, Senayan, Jakarta, Rabu 21 Agustus. Bahlil menegaskan partainya harus menjadi partai pendukung Prabowo Subianto dan Gibran Rakabuming di pemerintahan selanjutnya. Dia menilai kinerja Golkar harus lebih baik. Saat membicarakan kepala pemerintahan itulah Bahlil melempar candaan soal 'Raja Jawa'. ""Soalnya Raja Jawa ini kalau kita main-main celaka kita. Saya mau kasih tahu aja, jangan coba-coba main-main barang ini. Waduh ini ngeri-ngeri sedap barang ini, saya kasih tahu,"" kata Bahlil. ""Sudah, waduh ini, dan sudah banyak. Sudah lihat kan barang ini kan, ya tidak perlu saya ungkapkan lah,"" sambungnya. Seusai acara, Bahlil menyebutkan ucapannya merupakan candaan. ""Oh nggak, Itu candaan politik saja,"" kata Bahlil.  Simak Video: Bahlil soal 'Jangan Main-main dengan Raja Jawa': Candaan Politik Aja    ","Kepala Presidential Communication Office (PCO), Hasan Nasbi, buka suara soal Ketum Partai Golkar, Bahlil Lahadalia, yang menyebut 'Raja Jawa'. Hasan tidak ingin berspekulasi dan meminta publik untuk menafsirkan masing-masing. "" Itu biarkan itu kan pernyataan politik di partai politik. Jangan pagi mendukung, sore setengah mendukung, malam bikin lain. Bahlil menegaskan partainya harus menjadi partai pendukung Prabowo Subianto dan Gibran Rakabuming di pemerintahan selanjutnya. Dia menilai kinerja Golkar harus lebih baik. Saat membicarakan kepala pemerintahan itulah Bahlil melempar candaan soal 'Raja Jawa'. "" Soalnya Raja Jawa ini kalau kita main-main celaka kita. Saya mau kasih tahu aja, jangan coba-coba main-main barang ini. Oh nggak, Itu candaan politik saja,"" kata Bahlil."
Jubir Ungkap Situasi MK Usai Ada Revisi UU Pilkada,detikNews,2024-08-22,Anggi Muliawati,https://news.detik.com/berita/d-7503513/jubir-ungkap-situasi-mk-usai-ada-revisi-uu-pilkada,"Juru Bicara Mahkamah Konstitusi (MK) Fajar Laksono mengungkap kondisi MK usai adanya draf RUU Pilkada. Fajar mengatakan proses sidang di MK tetap berjalan meski adanya dinamika pada proses pengesahan draf RUU Pilkada di Badan Legislasi (Baleg) DPR. ""Kalau saya melihat semuanya berjalan. Semua agenda berjalan, tidak ada yang terganggu. Semuanya berjalan di MK,"" kata Fajar di gedung MK, Jakarta Pusat, Kamis 22 Agustus 2024.""Semua sidang berjalan, hakim bersidang, para pihak juga dipanggil datang,"" sambungnya. Fajar lalu berbicara sikap MK mengenai kesepakatan yang diambil Baleg DPR terhadap revisi UU Pilkada. Fajar mengatakan wewenang MK hanya sebatas menguji UU.    ""Artinya MK sudah menjalankan tugasnya, memberikan jawaban, memberikan solusi, memberikan tafsir konstitusional. Ini loh yang konstitusional. Ini norma yang konstitusional seperti ini,"" ujarnya. Fajar mengatakan putusan MK ialah bersifat final dan mengikat. Namun, Fajar mengatakan bagaimana pelaksanaan putusan MK tersebut sudah bukan merupakan kewenangan MK.""Bagaimana kemudian putusan MK itu dilaksanakan, itu bukan wewenang MK lagi, itu wewenang pelaksana undang-undang. Karena yang diuji itu undang-undang, undang-undangnya sudah berubah berdasarkan putusan Mahkamah Konstitusi, silahkan itu dilaksanakan,"" ujarnya. Sebagaimana diketahui, Baleg DPR RI bersama pemerintah sepakat untuk membawa revisi UU Pilkada ke paripurna hari ini kemarin. Revisi itu dikebut dalam waktu sehari sebelum disahkan menjadi undang-undang. Sebanyak delapan fraksi di DPR menyetujui keputusan itu. Partai politik setuju RUU Pilkada:GerindraDemokratGolkarPKSNasDemPANPPPPKB Partai politik menolak RUU Pilkada:PDIP Ada sejumlah perubahan pasal dalam UU Pilkada. Baleg DPR sepakat usia calon kepala daerah dihitung saat pelantikan seperti putusan Mahkamah Agung terhadap PKPU, bukan saat penetapan seperti penegasan Mahkamah Konstitusi (MK) dalam putusan terhadap gugatan UU Pilkada. Baleg DPR juga sepakat untuk membedakan syarat minimal bagi partai untuk mengusung calon kepala daerah, yakni antara partai dengan kursi DPRD dan partai tanpa kursi DPRD. Hal ini berbeda dengan putusan MK yang menyamaratakan perhitungan suara partai tanpa memandang ada-tidaknya kursi di DPRD.  Simak Video: MK Tegaskan UU Pilkada yang Sudah Diuji Harus Jadi Rujukan KPU    ","Juru Bicara Mahkamah Konstitusi (MK) Fajar Laksono mengungkap kondisi MK usai adanya draf RUU Pilkada. Semua agenda berjalan, tidak ada yang terganggu. Semuanya berjalan di MK,"" kata Fajar di gedung MK, Jakarta Pusat, Kamis 22 Agustus 2024.""Semua sidang berjalan, hakim bersidang, para pihak juga dipanggil datang,"" sambungnya. Fajar lalu berbicara sikap MK mengenai kesepakatan yang diambil Baleg DPR terhadap revisi UU Pilkada. Fajar mengatakan wewenang MK hanya sebatas menguji UU. Fajar mengatakan putusan MK ialah bersifat final dan mengikat. Revisi itu dikebut dalam waktu sehari sebelum disahkan menjadi undang-undang. Sebanyak delapan fraksi di DPR menyetujui keputusan itu. Baleg DPR sepakat usia calon kepala daerah dihitung saat pelantikan seperti putusan Mahkamah Agung terhadap PKPU, bukan saat penetapan seperti penegasan Mahkamah Konstitusi (MK) dalam putusan terhadap gugatan UU Pilkada. Baleg DPR juga sepakat untuk membedakan syarat minimal bagi partai untuk mengusung calon kepala daerah, yakni antara partai dengan kursi DPRD dan partai tanpa kursi DPRD."
Mendagri Tito Lantik Pj Gubernur Aceh dan Kepulauan Bangka Belitung,detikNews,2024-08-22,Angga Laraspati,https://news.detik.com/berita/d-7503458/mendagri-tito-lantik-pj-gubernur-aceh-dan-kepulauan-bangka-belitung,"Menteri Dalam Negeri (Mendagri) Muhammad Tito Karnavian melantik Safrizal ZA sebagai Penjabat (Pj) Gubernur Aceh dan Sugito sebagai Pj Gubernur Kepulauan Bangka Belitung (Babel). Pelantikan tersebut berdasarkan Keputusan Presiden (Keppres) Nomor 95/P Tahun 2024 tentang Pemberhentian dan Pengangkatan Penjabat Gubernur. Safrizal merupakan pejabat tinggi madya Kemendagri yang menjabat sebagai Direktur Jenderal (Dirjen) Bina Administrasi Kewilayahan (Adwil). Sedangkan Sugito merupakan Dirjen Pembangunan Desa dan Perdesaan (PDP) Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi (Kemendes PDTT). Dalam sambutan saat pelantikan yang berlangsung di Gedung Sasana Bhakti Praja (SBP) Kantor Pusat Kementerian Dalam Negeri (Kemendagri), Jakarta, hari ini tersebut Tito menyampaikan terima kasih kepada Pj Gubernur Aceh periode sebelumnya, Bustami Hamzah, yang telah menjalankan tugas dengan baik.     Bustami diketahui mundur sebagai Pj Gubernur untuk mengikuti kontestasi Pemilihan Kepala Daerah (Pilkada) 2024. Mendagri menegaskan, Kemendagri tidak menghalangi hak politik siapa pun, termasuk Pj. kepala daerah yang hendak berkontestasi dalam Pilkada. ""Khusus untuk konteks penjabat [yang maju Pilkada], untuk memberi ruang adanya Pilkada yang demokratis dan adil, yang fair, maka para penjabat saya meminta untuk menginformasikan [pengunduran diri] kepada Kemendagri paling lambat tanggal 17 Juli [2024] yang lalu,"" ujar Tito dalam keterangan tertulis, Kamis 22 Agustus 2024. Tito mengatakan penetapan waktu tersebut lantaran Kemendagri memerlukan persiapan untuk mencari pengganti Pj kepala daerah yang mengundurkan diri sesuai aturan yang berlaku. Dirinya menambahkan, penunjukan Pj gubernur dilakukan melalui tahapan panjang. Tahapan itu yakni dari pra sidang Tim Penilai Akhir (TPA) yang diikuti kementerian/lembaga (K/L). Di antaranya Sekretariat Kabinet (Setkab), Kementerian Sekretariat Negara (Kemensetneg), Komisi Pemberantasan Korupsi (KPK), Kejaksaan Agung (Kejagung), Bareskrim Polri, hingga Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK).  Selain itu, lembaga lainnya yakni Badan Intelijen Negara (BIN), Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (KemenPANRB), serta Badan Kepegawaian Negara (BKN). Melalui proses tersebut, nama kandidat yang terpilih dibahas di sidang TPA yang dipimpin Presiden Republik Indonesia (RI).  ""Dan Bapak Presiden akan memilih satu di antaranya yang diusulkan tersebut. Dan proses ini sudah berjalan,"" pungkasnya. Sebagai informasi, kegiatan pelantikan ini dirangkaikan dengan pelantikan Pejabat Fungsional Dosen Institut Pemerintahan Dalam Negeri (IPDN). Dalam kesempatan itu, Mendagri melantik Robert Simbolon sebagai Pejabat Fungsional Dosen Lektor IPDN. Robert sebelumnya menjabat sebagai Pelaksana Harian (Plh.) Sekretaris Badan Nasional Pengelola Perbatasan (BNPP). ","Menteri Dalam Negeri (Mendagri) Muhammad Tito Karnavian melantik Safrizal ZA sebagai Penjabat (Pj) Gubernur Aceh dan Sugito sebagai Pj Gubernur Kepulauan Bangka Belitung (Babel). Bustami diketahui mundur sebagai Pj Gubernur untuk mengikuti kontestasi Pemilihan Kepala Daerah (Pilkada) 2024. kepala daerah yang hendak berkontestasi dalam Pilkada. "" Khusus untuk konteks penjabat [yang maju Pilkada], untuk memberi ruang adanya Pilkada yang demokratis dan adil, yang fair, maka para penjabat saya meminta untuk menginformasikan [pengunduran diri] kepada Kemendagri paling lambat tanggal 17 Juli [2024] yang lalu,"" ujar Tito dalam keterangan tertulis, Kamis 22 Agustus 2024. Di antaranya Sekretariat Kabinet (Setkab), Kementerian Sekretariat Negara (Kemensetneg), Komisi Pemberantasan Korupsi (KPK), Kejaksaan Agung (Kejagung), Bareskrim Polri, hingga Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK). Melalui proses tersebut, nama kandidat yang terpilih dibahas di sidang TPA yang dipimpin Presiden Republik Indonesia (RI). ""Dan Bapak Presiden akan memilih satu di antaranya yang diusulkan tersebut. Dan proses ini sudah berjalan,"" pungkasnya. Sebagai informasi, kegiatan pelantikan ini dirangkaikan dengan pelantikan Pejabat Fungsional Dosen Institut Pemerintahan Dalam Negeri (IPDN). Robert sebelumnya menjabat sebagai Pelaksana Harian (Plh.) Sekretaris Badan Nasional Pengelola Perbatasan (BNPP)."
Kata Pimpinan DPR soal Pagar Roboh Saat Demo Revisi UU Pilkada,detikNews,2024-08-22,Firda Cynthia Anggrainy,https://news.detik.com/berita/d-7503786/kata-pimpinan-dpr-soal-pagar-roboh-saat-demo-revisi-uu-pilkada,"Massa aksi terkait revisi Undang-Undang Pilkada (RUU) sempat merobohkan pagar gedung DPR. Wakil Ketua DPR RI Sufmi Dasco Ahmad akan berkoordinasi Sekjen DPR Indra Iskandar untuk mengevaluasi hal ini. ""Mengenai pagar yang roboh, mungkin akan kita evaluasi pada kesekjenan,"" kata Dasco menjawab pertanyaan wartawan di gedung DPR RI, Jakarta, Kamis 22 Agustus 2024. Nantinya, akan dinilai apakah pagar tersebut sudah waktunya direnovasi atau masih kuat.    ""Apakah nanti memang waktunya direnovasi atau memang kemudian masih cukup kuat,"" lanjutnya.   Sebelumnya, massa merobohkan gerbang pintu masuk belakang atau Gerbang Pancasila Gedung MPR/DPR/DPD RI, Senayan, Jakarta. Massa demo yang mayoritas dari kalangan mahasiswa melakukan orasi di gerbang besi itu. Pantauan detikcom, Kamis 22 Agustus 2024 pukul 15.17 WIB, terlihat gerbang besi tempat akses mobil masuk telah roboh. Massa menginjak gerbang tersebut. Sementara bagian bawah pagar besi menjadi dalam keadaan berdiri dengan ketinggian sekitar 1 meter. Massa pun membentangkan bendera institusi kampus dan bendera Merah Putih. Selanjutnya, sekitar pukul 16.45 WIB pagar samping kanan DPR dirobohkan juga. Tampak aparat TNI-Polri tiba-tiba berlarian mendekat ke sisi sebelah kanan depan kompleks DPR/MPR. Tidak lama kemudian, sebagian aparat berlarian mundur sambil berteriak 'jebol-jebol'. Tampak juga ketika itu sejumlah massa memasuki kompleks DPR/MPR. Pihak kepolisian dan TNI pun tampak berlarian setelah melihat massa masuk.  Simak Video: Jebolnya Pagar Gedung DPR saat Unjuk Rasa Tolak Revisi UU Pilkada!    ","Massa aksi terkait revisi Undang-Undang Pilkada (RUU) sempat merobohkan pagar gedung DPR. Wakil Ketua DPR RI Sufmi Dasco Ahmad akan berkoordinasi Sekjen DPR Indra Iskandar untuk mengevaluasi hal ini. "" ""Apakah nanti memang waktunya direnovasi atau memang kemudian masih cukup kuat,"" lanjutnya. Selanjutnya, sekitar pukul 16.45 WIB pagar samping kanan DPR dirobohkan juga. Tampak aparat TNI-Polri tiba-tiba berlarian mendekat ke sisi sebelah kanan depan kompleks DPR/MPR. Tidak lama kemudian, sebagian aparat berlarian mundur sambil berteriak 'jebol-jebol'. Pihak kepolisian dan TNI pun tampak berlarian setelah melihat massa masuk. Simak Video: Jebolnya Pagar Gedung DPR saat Unjuk Rasa Tolak Revisi UU Pilkada!"
Penampakan Terkini Massa Demo Tolak Revisi UU Pilkada di DPR,detikNews,2024-08-22,"Azhar Bagas Ramadhan, Kurniawan Fadilah",https://news.detik.com/berita/d-7503668/penampakan-terkini-massa-demo-tolak-revisi-uu-pilkada-di-dpr,"Massa demo di depan Gedung DPR RI yang menolak revisi UU Pilkada belum bubar sepenuhnya. Massa masih berkumpul di sejumlah titik. Begini penampakannya. Pantauan di lokasi, Kamis 22 Agustus 2024, massa di gerbang utama Gedung DPR sudah berangsur bubar. Situasi tak lagi dipadati massa pendemo seperti siang tadi. Massa duduk di barrier busway. Sebagian massa lainnya berdiri di Jalan Gatot Subroto depan DPR, ada yang mengabadikan momen hingga duduk-duduk.    Spanduk protes juga masih terpasang di gerbang utama DPR. Titik massa lainnya berada di ruas jalan Tol. Terlihat masih ada asap bekas aksi bakar-bakaran dari massa. Jalan Tol sendiri masih ditutup. Sejumlah mobil di Tol terpaksa memutar balik. Pimpinan DPR RI Sufmi Dasco Ahmad sudah menyampaikan revisi UU Pilkada tidak disahkan di rapat paripurna hari ini. Pendaftaran di KPU, menurut dia, menggunakan hasil judicial review (JR) UU Pilkada yang diajukan Partai Buruh dan Partai Gelora. ""Dengan tidak disahkannya revisi UU Pilkada pada tanggal 22 Agustus hari ini, maka pada saat pendaftaran pada tanggal 27 Agustus adalah hasil JR MK yang diajukan oleh Partai Buruh dan Gelora,"" ujar Dasco kepada wartawan.  Simak Video: Penampakan DPR Seusai Demo: Banyak Coretan-Pagar Roboh    ","Massa demo di depan Gedung DPR RI yang menolak revisi UU Pilkada belum bubar sepenuhnya. Pantauan di lokasi, Kamis 22 Agustus 2024, massa di gerbang utama Gedung DPR sudah berangsur bubar. Sebagian massa lainnya berdiri di Jalan Gatot Subroto depan DPR, ada yang mengabadikan momen hingga duduk-duduk. Sejumlah mobil di Tol terpaksa memutar balik. Dengan tidak disahkannya revisi UU Pilkada pada tanggal 22 Agustus hari ini, maka pada saat pendaftaran pada tanggal 27 Agustus adalah hasil JR MK yang diajukan oleh Partai Buruh dan Gelora,"" ujar Dasco kepada wartawan. Simak Video: Penampakan DPR Seusai Demo: Banyak Coretan-Pagar Roboh"
"Massa Duduki Ruang Paripurna DPRD Kota Tasikmalaya, Gulingkan Meja-Kursi",detikNews,2024-08-22,Faizal Amiruddin,https://news.detik.com/berita/d-7503601/massa-duduki-ruang-paripurna-dprd-kota-tasikmalaya-gulingkan-meja-kursi,"Massa gabungan mahasiswa dan masyarakat menggelar aksi demonstrasi tolak revisi UU Pilkada di gedung DPRD Kota Tasikmalaya petang ini. Massa menduduki gedung wakil rakyat di Jalan RE Martadinata tersebut. Mereka merangsek masuk dan menduduki ruang rapat paripurna DPRD. Di ruangan itu massa menggelar orasi dan menyanyikan yel-yel perjuangan mahasiswa. Selanjutnya di dalam ruang paripurna yang penuh sesak oleh demonstran itu digelar simulasi rapat paripurna.    ""Mandat DPRD sudah diambil alih oleh rakyat,"" kata demonstran yang menduduki kursi pimpinan DPRD. Kemudian perwakilan massa bergiliran menyampaikan orasinya, seperti dilansir detikJabar, Kamis 22 Agustus 2024. Situasi di dalam ruangan paripurna itu sempat memanas. Beberapa peserta aksi mencoret dinding dengan cat semprot, menggulingkan kursi dan meja. Kerusakan lain juga terlihat di beberapa titik, seperti pintu dan ruang operator, sehingga kondisi tempat rapat itu porak-poranda. Beberapa kursi juga dibawa keluar untuk dijadikan bahan bakar. Baca selengkapnya di sini  Simak Video: Demo Tolak Revisi UU Pilkada Ricuh, Massa Masuk Halaman DPR    ","Massa gabungan mahasiswa dan masyarakat menggelar aksi demonstrasi tolak revisi UU Pilkada di gedung DPRD Kota Tasikmalaya petang ini. Massa menduduki gedung wakil rakyat di Jalan RE Martadinata tersebut. Selanjutnya di dalam ruang paripurna yang penuh sesak oleh demonstran itu digelar simulasi rapat paripurna. Beberapa peserta aksi mencoret dinding dengan cat semprot, menggulingkan kursi dan meja. Beberapa kursi juga dibawa keluar untuk dijadikan bahan bakar. Baca selengkapnya di sini  Simak Video: Demo Tolak Revisi UU Pilkada Ricuh, Massa Masuk Halaman DPR"
3 Gerbang Tol Dalam Kota Ditutup Sore Ini,detikNews,2024-08-22,Mei Amelia R,https://news.detik.com/berita/d-7503559/3-gerbang-tol-dalam-kota-ditutup-sore-ini,"Massa demo di depan gedung DPR/MPR menerobos Tol Dalam Kota. Kendaraan di Tol Dalam Kota yang mengarah ke Slipi dan Cawang diputar balik. ""Aksi masa penyampaian aspirasi di area gedung DPR/MPR yang mulai memasuki wilayah Jalan Tol Dalam Kota, Representative Office 2 sebagai pengelola Ruas Tol Dalam Kota dan Jasamarga Tollroad Operator (JMTO) selaku service provider pengoperasian Jalan Tol bersama Kepolisian melakukan rekayasa lalu lintas,"" ujar Ginanjar Rakhmanto, Senior Manager Representative Office 2 Jasamarga Metropolitan Tollroad, dalam keterangan pers, Kamis 22 Agustus 2024. Arus lalu lintas di Tol Dalam Kota dialihkan sejak pukul 16.55 WIB. Kendaraan yang sudah telanjur melintas di ruas Tol Dalam Kota dari arah Timur dan Barat diputar balik.    ""Atas Diskresi Kepolisian, mulai pukul 16.55 WIB, pengguna jalan yang melintasi Ruas Tol Dalam Kota arah Slipi, dialihkan putar balik di Km 8+100 dan Km 9+800 untuk kembali menuju arah Cawang,"" katanya. ""Sedangkan pengguna jalan yang hendak menuju arah Cawang dialihkan putar balik di Km 12+400 untuk kembali menuju arah Slipi,"" lanjutnya. Jasa Marga juga melakukan penutupan sementara 3 gerbang tol berkaitan adanya demo tersebut. Penutupan dilakukan di GT Senayan, GT Slipi 2 dan GT Pejompongan. ""Atas Diskresi Kepolisian juga, sementara waktu dilakukan penutupan Gerbang Tol (GT) Senayan arah Slipi, serta GT Slipi 2 dan Pejompongan arah Cawang Ruas Tol Dalam Kota,"" tutupnya. Hingga sore ini massa demo masih memenuhi Jalan Gatot Subroto, Jakarta Pusat. Massa menolak pengesahan RUU Pilkada.","Massa demo di depan gedung DPR/MPR menerobos Tol Dalam Kota. Aksi masa penyampaian aspirasi di area gedung DPR/MPR yang mulai memasuki wilayah Jalan Tol Dalam Kota, Representative Office 2 sebagai pengelola Ruas Tol Dalam Kota dan Jasamarga Tollroad Operator (JMTO) selaku service provider pengoperasian Jalan Tol bersama Kepolisian melakukan rekayasa lalu lintas,"" ujar Ginanjar Rakhmanto, Senior Manager Representative Office 2 Jasamarga Metropolitan Tollroad, dalam keterangan pers, Kamis 22 Agustus 2024. Sedangkan pengguna jalan yang hendak menuju arah Cawang dialihkan putar balik di Km 12+400 untuk kembali menuju arah Slipi,"" lanjutnya. Jasa Marga juga melakukan penutupan sementara 3 gerbang tol berkaitan adanya demo tersebut. Penutupan dilakukan di GT Senayan, GT Slipi 2 dan GT Pejompongan. "" Hingga sore ini massa demo masih memenuhi Jalan Gatot Subroto, Jakarta Pusat."
"Sempat Memanas, Demo Tolak RUU Pilkada di Semarang Selesai",detikNews,2024-08-22,Angling Adhitya Purbaya,https://news.detik.com/berita/d-7503498/sempat-memanas-demo-tolak-ruu-pilkada-di-semarang-selesai,"Massa demo tolak revisi Undang-Undang Pilkada di sekitar DPRD Jawa Tengah (Jateng) telah dibubarkan polisi. Polisi masih berada di kantor DPRD Jateng. Pantauan pada pukul 16.00 WIB, seperti dilansir detikJateng, terlihat sejumlah polisi dan unit water cannon masih bersiaga di gerbang samping gedung DPRD Jateng yang sempat menjadi lokasi bentrokan. Polisi juga masih berjaga di halaman depan kantor DPRD. Pagar samping DPRD Jateng yang dijebol juga sudah dibereskan meski masih ada sisa potongan gerbang di sekitar lokasi. Bekas-bekas ban yang dibakar juga sudah disingkirkan dari sekitar gerbang itu.    Untuk diketahui, massa mahasiswa dari berbagai universitas itu berunjuk rasa di DPRD Jateng sejak siang tadi. Mereka awalnya berada di gerbang depan, lalu bergeser ke gerbang samping. Di sana mereka langsung merobohkan gerbang dan berorasi. Kemudian terjadi aksi saling dorong, hingga akhirnya polisi mendorong massa ke batas gerbang. Baca selengkapnya di sini","Massa demo tolak revisi Undang-Undang Pilkada di sekitar DPRD Jawa Tengah (Jateng) telah dibubarkan polisi. Pantauan pada pukul 16.00 WIB, seperti dilansir detikJateng, terlihat sejumlah polisi dan unit water cannon masih bersiaga di gerbang samping gedung DPRD Jateng yang sempat menjadi lokasi bentrokan. Pagar samping DPRD Jateng yang dijebol juga sudah dibereskan meski masih ada sisa potongan gerbang di sekitar lokasi. Mereka awalnya berada di gerbang depan, lalu bergeser ke gerbang samping. Kemudian terjadi aksi saling dorong, hingga akhirnya polisi mendorong massa ke batas gerbang."
Prabowo Terima Kunjungan Menhan Turki di Kemhan,detikNews,2024-08-22,Mulia Budi,https://news.detik.com/berita/d-7503491/prabowo-terima-kunjungan-menhan-turki-di-kemhan,"Menteri Pertahanan (Menhan) sekaligus Presiden terpilih RI, Prabowo Subianto, menerima kunjungan Menhan Turki, Yasar Guler. Upacara penyambutan terlihat digelar untuk Guler. Pantauan detikcom, Kamis 22 Agustus 2024, Guler tiba di kantor Kemhan RI, Jalan Medan Merdeka Barat, Jakarta Pusat, sekitar pukul 15.40 WIB. Guler disambut Wamenhan M Herindra. Upacara penyambutan kedatangan Guler digelar dengan marching band. Guler masuk ke ruang pertemuan untuk bertemu dengan Prabowo Subianto.    Pertemuan berlangsung tertutup sekitar 45 menit. Prabowo terlihat mengantar Guler sampai ke mobil saat pertemuan selesai. Guler kemudian meninggalkan Kantor Kemhan RI pukul 17.10 WIB. Belum ada penjelasan soal apa isi pertemuan tersebut.  Simak Video: Momen Pertemuan Prabowo dan PM Papua Nugini James Marape di Kemhan    ","Menteri Pertahanan (Menhan) sekaligus Presiden terpilih RI, Prabowo Subianto, menerima kunjungan Menhan Turki, Yasar Guler. Upacara penyambutan terlihat digelar untuk Guler. Pantauan detikcom, Kamis 22 Agustus 2024, Guler tiba di kantor Kemhan RI, Jalan Medan Merdeka Barat, Jakarta Pusat, sekitar pukul 15.40 WIB. Pertemuan berlangsung tertutup sekitar 45 menit. Belum ada penjelasan soal apa isi pertemuan tersebut."
